"year","ncessch","school_name","state_name","lea_name","school_level","school_type","charter","magnet","free_lunch","reduced_price_lunch","enrollment","students_susp_in_sch","students_susp_out_sch_single","students_susp_out_sch_multiple","suspensions_instances","firearm_incident_ind","homicide_ind","rape_incidents","sexual_battery_incidents","robbery_w_weapon_incidents","robbery_w_firearm_incidents","robbery_no_weapon_incidents","attack_w_weapon_incidents","attack_w_firearm_incidents","attack_no_weapon_incidents","threats_w_weapon_incidents","threats_w_firearm_incidents","threats_no_weapon_incidents","possession_firearm_incidents","counselors_fte","social_workers_fte"
"2017","420000107136","Bedford County Technical Center","Pennsylvania","Bedford County Technical Center","High","Vocational school","No","No","","","0","","","","","","","","","","","","","","","","","","","",""
"2017","420000307138","Susquehanna County CTC","Pennsylvania","Susquehanna County CTC","High","Vocational school","No","No","","","0","","","","","","","","","","","","","","","","","","","",""
"2017","420000707253","Fulton County AVTS","Pennsylvania","Fulton County AVTS","High","Vocational school","No","No","","","0","","","","","","","","","","","","","","","","","","","",""
"2017","420001100272","Keystone Education Center CS","Pennsylvania","Keystone Education Center CS","Other","Regular school","Yes","No","184","0","192","0","0","0","0.000","No","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","7.000","0.000","1.000","0.000","0.000","1.000","0.000"
"2017","420001200311","Chester Co Family Academy CS","Pennsylvania","Chester Co Family Academy CS","Primary","Regular school","Yes","No","77","12","108","0","0","0","0.000","No","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.000","0.000"
"2017","420001300318","Community Academy of Philadelphia CS","Pennsylvania","Community Academy of Philadelphia CS","Other","Regular school","Yes","No","1125","0","1220","87","79","13","79.000","No","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","4.000","3.000"
"2017","420001400319","Harambee Institute of Science and Techno","Pennsylvania","Harambee Institute of Science and Technology CS","Primary","Regular school","Yes","No","535","0","537","0","0","0","0.000","No","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","4.000","0.000","0.000","0.000"
"2017","420001500322","World Communications CS","Pennsylvania","World Communications CS","Missing/not reported","Regular school","Yes","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","420001600324","Youth Build Phila CS","Pennsylvania","Youth Build Phila CS","High","Regular school","Yes","No","","","259","0","8","63","65.000","No","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000"
"2017","420001700336","Manchester Academic CS","Pennsylvania","Manchester Academic CS","Primary","Regular school","Yes","No","363","0","366","0","35","21","91.000","No","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000"
"2017","420001800337","Urban Pathways 6-12 CS","Pennsylvania","Urban Pathways 6-12 CS","High","Regular school","Yes","No","341","0","341","36","63","42","217.000","No","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.000","1.000","0.000","2.000","0.000","2.000","0.000"
"2017","420001900338","Urban Academy of Greater Pittsburgh CS","Pennsylvania","Urban Academy of Greater Pittsburgh CS","Primary","Regular school","Yes","No","266","1","276","0","18","15","48.000","No","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","14.000","0.000","0.000","1.000","0.000","1.000","1.000"
"2017","420002000342","Robert Benjamin Wiley Community CS","Pennsylvania","Robert Benjamin Wiley Community CS","Other","Regular school","Yes","No","","","421","0","71","33","183.000","No","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","43.000","0.000","0.000","8.000","0.000","1.000","0.000"
"2017","420002100344","Dr Robert Ketterer CS Inc.","Pennsylvania","Dr Robert Ketterer CS Inc","Other","Regular school","Yes","No","137","4","168","0","47","26","131.000","No","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2.000","1.000","0.000","0.000","0.000","1.000","1.000"
"2017","420002300350","Centre Learning Community CS","Pennsylvania","Centre Learning Community CS","Middle","Regular school","Yes","No","","","92","2","3","1","4.000","No","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.250","0.000"
"2017","420002400352","Nittany Valley CS","Pennsylvania","Nittany Valley CS","Primary","Regular school","Yes","No","","","49","0","0","0","0.000","No","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"2017","420002500355","South Mountain Secure Trmnt Un","Pennsylvania","South Mountain Secure Trmnt Unit","High","Other/alternative school","No","No","","","15","Missing/not reported","0","0","0.000","No","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000"
"2017","420002600359","La Academia Partnership Charter School","Pennsylvania","La Academia Partnership Charter School","High","Regular school","Yes","No","188","8","200","15","10","2","2.000","No","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","4.000","0.000","0.000","0.000","0.000","0.000","1.000"
"2017","420002700366","Sylvan Heights Science CS","Pennsylvania","Sylvan Heights Science CS","Primary","Regular school","Yes","No","215","0","215","0","9","9","27.000","No","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","7.000","0.000","0.000","0.000","0.000","1.000","0.000"
"2017","420002800368","Susq-Cyber CS","Pennsylvania","Susq-Cyber CS","High","Regular school","Yes","No","","","69","0","0","0","0.000","No","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"2017","420003000379","School Lane CS","Pennsylvania","School Lane CS","Other","Regular school","Yes","No","433","65","1257","11","27","9","55.000","No","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","7.000","0.000","0.000","0.000","0.000","4.000","0.000"
"2017","420003500388","Chester Community CS","Pennsylvania","Chester Community CS","Primary","Regular school","Yes","No","","","4134","157","593","669","2815.000","No","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.000","263.000","0.000","0.000","25.000","0.000","7.000","2.000"
"2017","420003600391","Preparatory CS of Mathematics Science","Pennsylvania","Preparatory CS of Mathematics Science Tech and Careers","High","Regular school","Yes","No","610","0","610","248","81","30","128.000","No","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2.000","0.000"
"2017","420003800393","Imhotep Institute CHS","Pennsylvania","Imhotep Institute CHS","High","Regular school","Yes","No","","","571","0","64","36","142.000","No","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000"
