ncessch,school_name,lea_name,school_type,school_level,charter,magnet,suspension_rate,counselors_per_student,counselor_quartile,pct_black,pct_hispanic,pct_white,pct_frp_lunch,enrollmentwhite,enrollment,free_lunch,pct_free_lunch,reduced_price_lunch,pct_rp_lunch,frp_lunch,students_oos_suspension,student_suspension_rate,suspensions_instances,homicide_ind,rape_incidents,sexual_battery_incidents,robbery_w_weapon_incidents,robbery_w_firearm_incidents,robbery_no_weapon_incidents,attack_w_weapon_incidents,attack_w_firearm_incidents,attack_no_weapon_incidents,threats_w_weapon_incidents,threats_w_firearm_incidents,threats_no_weapon_incidents,possession_firearm_incidents,num_incidents,incident_rate,counselors_fte,social_workers_fte,socialworkers_per_student,pct_students_oos_suspension,enrollment_by_1000
420001100272,Keystone Education Center CS,Keystone Education Center CS,Regular school,K-12,1,0,0,.52083331,4,15.625,0,80.208336,95.833336,154,192,184,95.833336,0,0,184,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,8,4.1666665,1,0,0,0,.192
420001200311,Chester Co Family Academy CS,Chester Co Family Academy CS,Regular school,Elementary,1,0,0,0,1,24.074074,63.888889,9.2592592,82.40741,10,108,77,71.296295,12,11.111111,89,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,.92592591,0,0,0,0,.108
420001300318,Community Academy of Philadelphia CS,Community Academy of Philadelphia CS,Regular school,K-12,1,0,6.47541,.32786885,3,13.196721,82.049179,.90163934,92.213112,11,1220,1125,92.213112,0,0,1125,92,7.5409837,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,.24590164,7.5409837,1.22
420001400319,Harambee Institute of Science and Techno,Harambee Institute of Science and Technology CS,Regular school,Elementary,1,0,0,0,1,100,0,0,99.627563,0,537,535,99.627563,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,.18621974,0,0,0,0,.537
420001600324,Youth Build Phila CS,Youth Build Phila CS,Regular school,High School,1,0,25.096525,.38610038,4,81.467178,12.355212,1.1583011,,3,259,,,,,,71,27.413128,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27.413128,.259
420001700336,Manchester Academic CS,Manchester Academic CS,Regular school,Elementary,1,0,24.863388,0,1,95.08197,.27322406,1.3661202,99.180328,5,366,363,99.180328,0,0,363,56,15.300547,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.27322406,15.300547,.366
420001800337,Urban Pathways 6-12 CS,Urban Pathways 6-12 CS,Regular school,High School,1,0,63.636364,.58651024,4,95.894424,1.4662757,.58651024,100,2,341,341,100,0,0,341,105,30.791788,217,0,0,0,0,0,0,0,0,6,1,0,2,0,7,2.0527859,2,0,0,30.791788,.34099999
420001900338,Urban Academy of Greater Pittsburgh CS,Urban Academy of Greater Pittsburgh CS,Regular school,Elementary,1,0,17.391304,.36231884,4,97.826088,.36231884,0,96.739128,0,276,266,96.376808,1,.36231884,267,33,11.956522,48,0,0,0,0,0,0,0,0,14,0,0,1,0,14,5.072464,1,1,.36231884,11.956522,.27599999
420002000342,Robert Benjamin Wiley Community CS,Robert Benjamin Wiley Community CS,Regular school,K-12,1,0,43.467934,.2375297,2,43.467934,14.489311,23.990499,,101,421,,,,,,104,24.703089,183,0,0,0,0,0,0,0,0,43,0,0,8,0,43,10.213777,1,0,0,24.703089,.421
420002100344,Dr Robert Ketterer CS Inc.,Dr Robert Ketterer CS Inc,Regular school,K-12,1,0,77.976189,.59523809,4,22.023809,8.333333,64.285713,83.928574,108,168,137,81.547623,4,2.3809524,141,73,43.452381,131,0,0,0,0,0,0,0,0,2,1,0,0,0,3,1.7857143,1,1,.59523809,43.452381,.168
420002300350,Centre Learning Community CS,Centre Learning Community CS,Regular school,Elementary,1,0,4.347826,.27173913,3,4.347826,1.0869565,89.130432,,82,92,,,,,,4,4.347826,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.25,0,0,4.347826,.092
